id,source,annotator,text,tokens,ac,ap,conf,ipv,link,keyword,date
15,simulation_ipv,shr,कस्सम तलाई भेटे भनेनी तँ भालुलाई सिदै पशुपतिको घाटमा पुरैदिन्छु भालुनी |,"['कस्सम', 'तलाई', 'भेटे', 'भनेनी', 'तँ', 'भालुलाई', 'सिदै', 'पशुपतिको', 'घाटमा', 'पुरैदिन्छु', 'भालुनी', '|']","['O', 'O', 'O', 'O', 'O', 'B-profanity', 'B-general_threat', 'I-general_threat', 'I-general_threat', 'I-general_threat', 'I-general_threat', 'O']","['_', '_', '_', '_', '_', '0', '0', '0', '0', '0', '0', '_']",6,1,,,
18,simulation_ipv,shr,के गोहीको आसु देखाइरा कसैको जिन्दगी बर्बाद गरेर पनि पुगेन तलाई |,"['के', 'गोहीको', 'आसु', 'देखाइरा', 'कसैको', 'जिन्दगी', 'बर्बाद', 'गरेर', 'पनि', 'पुगेन', 'तलाई', '|']","['O', 'B-profanity', 'I-profanity', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['_', '0', '0', '_', '_', '_', '_', '_', '_', '_', '_', '_']",6,1,,,
19,simulation_ipv,shr,थुक्क बेज्जती भालु अझै तलाई आसु झार्न लाज लाग्दैन |,"['थुक्क', 'बेज्जती', 'भालु', 'अझै', 'तलाई', 'आसु', 'झार्न', 'लाज', 'लाग्दैन', '|']","['B-profanity', 'I-profanity', 'I-profanity', 'O', 'O', 'B-profanity', 'I-profanity', 'I-profanity', 'I-profanity', 'O']","['0', '0', '0', '_', '_', '0', '0', '0', '0', '_']",6,1,,,
20,simulation_ipv,shr,प्ले गल नाटकी नौटंकी केटि छि छि थुक्क घिन लाग्दी केटि |,"['प्ले', 'गल', 'नाटकी', 'नौटंकी', 'केटि', 'छि', 'छि', 'थुक्क', 'घिन', 'लाग्दी', 'केटि', '|']","['B-character_assasination', 'I-character_assasination', 'I-character_assasination', 'I-character_assasination', 'I-character_assasination', 'B-profanity', 'I-profanity', 'I-profanity', 'B-profanity', 'I-profanity', 'I-profanity', 'O']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '_']",6,1,,,
21,simulation_ipv,shr,अझ नाटक देखाउदै छे यस्ले तेरिमा भालु |,"['अझ', 'नाटक', 'देखाउदै', 'छे', 'यस्ले', 'तेरिमा', 'भालु', '|']","['O', 'B-profanity', 'O', 'O', 'O', 'B-profanity', 'I-profanity', 'O']","['_', '0', '_', '_', '_', '0', '0', '_']",7,1,,,
22,simulation_ipv,shr,तिमि जस्तो खत्तम गलफ्रेन्ड त दुस्मनलाई नि नपरोस् |,"['तिमि', 'जस्तो', 'खत्तम', 'गलफ्रेन्ड', 'त', 'दुस्मनलाई', 'नि', 'नपरोस्', '|']","['O', 'O', 'B-profanity', 'I-profanity', 'O', 'O', 'O', 'O', 'O']","['_', '_', '0', '0', '_', '_', '_', '_', '_']",9,1,,,
23,simulation_ipv,shr,कुकुर्नी अर्को कुकुर खोजेर पोइला जा तँ रन्डी |,"['कुकुर्नी', 'अर्को', 'कुकुर', 'खोजेर', 'पोइला', 'जा', 'तँ', 'रन्डी', '|']","['B-profanity', 'B-profanity', 'I-profanity', 'I-profanity', 'I-profanity', 'I-profanity', 'O', 'B-profanity', 'O']","['0', '1', '1', '1', '1', '1', '_', '0', '_']",6,1,,,
24,simulation_ipv,shr,साली कुकुर्नी एउटा सोझो मान्छेलाई फसाएर खुब आफुलाई महान ठान्छेस तलाई अब जिन्दगीभर कहिल्लै राम्रो हुदैन बुझिस् |,"['साली', 'कुकुर्नी', 'एउटा', 'सोझो', 'मान्छेलाई', 'फसाएर', 'खुब', 'आफुलाई', 'महान', 'ठान्छेस', 'तलाई', 'अब', 'जिन्दगीभर', 'कहिल्लै', 'राम्रो', 'हुदैन', 'बुझिस्', '|']","['B-profanity', 'I-profanity', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['0', '0', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",5,1,,,
25,simulation_ipv,shr,अनि तैले गर्नै नहुनी काम गरेसी अब सुन्नै नहुनी गालि त सुन्नै पर्यो नि कुकुर्नी |,"['अनि', 'तैले', 'गर्नै', 'नहुनी', 'काम', 'गरेसी', 'अब', 'सुन्नै', 'नहुनी', 'गालि', 'त', 'सुन्नै', 'पर्यो', 'नि', 'कुकुर्नी', '|']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-profanity', 'O']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '0', '_']",7,1,,,
26,simulation_ipv,shr,"साले खाते कुकुर्नी पहिला फसाहिस अहिले यस्तो भन्छेस् तलाई लाज छैन , लाज पचेकी नकचरी भालु |","['साले', 'खाते', 'कुकुर्नी', 'पहिला', 'फसाहिस', 'अहिले', 'यस्तो', 'भन्छेस्', 'तलाई', 'लाज', 'छैन', ',', 'लाज', 'पचेकी', 'नकचरी', 'भालु', '|']","['B-profanity', 'I-profanity', 'I-profanity', 'O', 'O', 'O', 'O', 'O', 'O', 'B-profanity', 'I-profanity', 'O', 'B-profanity', 'I-profanity', 'I-profanity', 'I-profanity', 'O']","['0', '0', '0', '_', '_', '_', '_', '_', '_', '0', '0', '_', '0', '0', '0', '0', '_']",7,1,,,
27,simulation_ipv,shr,"अनुहार हेर्दा त माया लाग्ने छ नि तेरो , तर के गर्नु बानी बेहोरा हेर्दा थुक्ने खालको छ |","['अनुहार', 'हेर्दा', 'त', 'माया', 'लाग्ने', 'छ', 'नि', 'तेरो', ',', 'तर', 'के', 'गर्नु', 'बानी', 'बेहोरा', 'हेर्दा', 'थुक्ने', 'खालको', 'छ', '|']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-profanity', 'I-profanity', 'I-profanity', 'O']","['_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '1', '1', '1', '_']",6,1,,,
28,simulation_ipv,shr,मरेनी हुन्छ कुकुर्नी साली तैले बाउनको बेज्जत नै गरिस् |,"['मरेनी', 'हुन्छ', 'कुकुर्नी', 'साली', 'तैले', 'बाउनको', 'बेज्जत', 'नै', 'गरिस्', '|']","['B-profanity', 'I-profanity', 'I-profanity', 'I-profanity', 'O', 'B-ethnic_violence', 'I-ethnic_violence', 'I-ethnic_violence', 'I-ethnic_violence', 'O']","['1', '1', '1', '1', '_', '0', '0', '0', '0', '_']",6,1,,,
30,simulation_ipv,shr,"यो केटि पनि बकवास रहीछे , कति तुच्छता र निच व्यहोरा हो |","['यो', 'केटि', 'पनि', 'बकवास', 'रहीछे', ',', 'कति', 'तुच्छता', 'र', 'निच', 'व्यहोरा', 'हो', '|']","['O', 'O', 'O', 'B-profanity', 'O', 'O', 'O', 'B-character_assasination', 'I-character_assasination', 'I-character_assasination', 'I-character_assasination', 'O', 'O']","['_', '_', '_', '0', '_', '_', '_', '1', '1', '1', '1', '_', '_']",7,1,,,
31,simulation_ipv,shr,तँ जस्तो निच र गिरेको मान्छे मैले आज सम्म देखेको थिइन |,"['तँ', 'जस्तो', 'निच', 'र', 'गिरेको', 'मान्छे', 'मैले', 'आज', 'सम्म', 'देखेको', 'थिइन', '|']","['O', 'O', 'B-character_assasination', 'I-character_assasination', 'I-character_assasination', 'I-character_assasination', 'O', 'O', 'O', 'O', 'O', 'O']","['_', '_', '1', '1', '1', '1', '_', '_', '_', '_', '_', '_']",6,1,,,
32,simulation_ipv,shr,"तँ पशु भन्दा पनि निच हो , पशुले पनि आफुले यौन क्रिया गरेको पोथीलाई माया र रक्षा गर्छ |","['तँ', 'पशु', 'भन्दा', 'पनि', 'निच', 'हो', ',', 'पशुले', 'पनि', 'आफुले', 'यौन', 'क्रिया', 'गरेको', 'पोथीलाई', 'माया', 'र', 'रक्षा', 'गर्छ', '|']","['O', 'B-character_assasination', 'I-character_assasination', 'I-character_assasination', 'I-character_assasination', 'I-character_assasination', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['_', '1', '1', '1', '1', '1', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",6,1,,,
33,simulation_ipv,shr,"तीघ्रा देखाउँदै फेसबुकमा फोटो हाल्छेस् , कहिँ नभएकी नकचरी !","['तीघ्रा', 'देखाउँदै', 'फेसबुकमा', 'फोटो', 'हाल्छेस्', ',', 'कहिँ', 'नभएकी', 'नकचरी', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'B-character_assasination', 'I-character_assasination', 'I-character_assasination', 'O']","['_', '_', '_', '_', '_', '_', '1', '1', '1', '_']",7,1,,,
34,simulation_ipv,shr,तिमीलाई तिम्रो अनुहारले होइन बरु तिम्रो निच व्यहोराले तुलना गर्नु पर्छ |,"['तिमीलाई', 'तिम्रो', 'अनुहारले', 'होइन', 'बरु', 'तिम्रो', 'निच', 'व्यहोराले', 'तुलना', 'गर्नु', 'पर्छ', '|']","['O', 'O', 'O', 'O', 'O', 'O', 'B-character_assasination', 'I-character_assasination', 'O', 'O', 'O', 'O']","['_', '_', '_', '_', '_', '_', '0', '0', '_', '_', '_', '_']",6,1,,,
35,simulation_ipv,shr,कोइकोइले आफ्नो अस्लियत बल्ल देखाउन थाले |,"['कोइकोइले', 'आफ्नो', 'अस्लियत', 'बल्ल', 'देखाउन', 'थाले', '|']","['O', 'O', 'B-general_threat', 'I-general_threat', 'I-general_threat', 'I-general_threat', 'O']","['_', '_', '0', '0', '0', '0', '_']",4,1,,,
36,simulation_ipv,shr,तँ साले रन्डीले गर्दा त होनी अहिले हामी सबै परिवारको शिर झुकेको |,"['तँ', 'साले', 'रन्डीले', 'गर्दा', 'त', 'होनी', 'अहिले', 'हामी', 'सबै', 'परिवारको', 'शिर', 'झुकेको', '|']","['O', 'B-profanity', 'I-profanity', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['_', '0', '0', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",8,1,,,
37,simulation_ipv,shr,तँ भन्दा बरु पशु बुद्धिमानी हुन्छन |,"['तँ', 'भन्दा', 'बरु', 'पशु', 'बुद्धिमानी', 'हुन्छन', '|']","['O', 'O', 'O', 'B-profanity', 'O', 'O', 'O']","['_', '_', '_', '0', '_', '_', '_']",6,1,,,
38,simulation_ipv,shr,भरियो अब तेरो पापको भकारी |,"['भरियो', 'अब', 'तेरो', 'पापको', 'भकारी', '|']","['O', 'O', 'O', 'B-general_threat', 'I-general_threat', 'O']","['_', '_', '_', '0', '0', '_']",5,1,,,
39,simulation_ipv,shr,मेरो बुढि पैसाको लागि यति निच गिर्छे भन्नि सोचेको थिइन |,"['मेरो', 'बुढि', 'पैसाको', 'लागि', 'यति', 'निच', 'गिर्छे', 'भन्नि', 'सोचेको', 'थिइन', '|']","['O', 'O', 'O', 'O', 'O', 'B-profanity', 'O', 'O', 'O', 'O', 'O']","['_', '_', '_', '_', '_', '0', '_', '_', '_', '_', '_']",9,1,,,
41,simulation_ipv,shr,कुरा गर्ने पनि तरिका हुन्छ नि पाखे केटि |,"['कुरा', 'गर्ने', 'पनि', 'तरिका', 'हुन्छ', 'नि', 'पाखे', 'केटि', '|']","['O', 'O', 'O', 'O', 'O', 'O', 'B-profanity', 'I-profanity', 'O']","['_', '_', '_', '_', '_', '_', '0', '0', '_']",7,1,,,
42,simulation_ipv,shr,मुजी रन्डीको छोरि तँ अरुसंग सुतेर मलाई फसाउछेस |,"['मुजी', 'रन्डीको', 'छोरि', 'तँ', 'अरुसंग', 'सुतेर', 'मलाई', 'फसाउछेस', '|']","['B-character_assasination', 'I-character_assasination', 'I-character_assasination', 'O', 'B-character_assasination', 'I-character_assasination', 'O', 'O', 'O']","['1', '1', '1', '_', '1', '1', '_', '_', '_']",8,1,,,
43,simulation_ipv,shr,ओइ अझ आसु झारेकी छेस मोर तँ आफ्नो इज्जत आफै फालिस |,"['ओइ', 'अझ', 'आसु', 'झारेकी', 'छेस', 'मोर', 'तँ', 'आफ्नो', 'इज्जत', 'आफै', 'फालिस', '|']","['O', 'O', 'O', 'O', 'O', 'B-general_threat', 'I-general_threat', 'O', 'O', 'O', 'O', 'O']","['_', '_', '_', '_', '_', '1', '1', '_', '_', '_', '_', '_']",8,1,,,
44,simulation_ipv,shr,बल्ल चेत आयो रन्डी पैसाको भोक मेटियो तेरो |,"['बल्ल', 'चेत', 'आयो', 'रन्डी', 'पैसाको', 'भोक', 'मेटियो', 'तेरो', '|']","['O', 'O', 'O', 'B-profanity', 'B-character_assasination', 'I-character_assasination', 'I-character_assasination', 'O', 'O']","['_', '_', '_', '0', '1', '1', '1', '_', '_']",6,1,,,
45,simulation_ipv,shr,नौटंकी राडी तलाई त कहिले राम्रो नहोस |,"['नौटंकी', 'राडी', 'तलाई', 'त', 'कहिले', 'राम्रो', 'नहोस', '|']","['B-profanity', 'I-profanity', 'O', 'O', 'O', 'O', 'O', 'O']","['1', '1', '_', '_', '_', '_', '_', '_']",7,1,,,
46,simulation_ipv,shr,तँ मर्न है तेरो सडेको अनुहार त हेनु पर्दैन मैले |,"['तँ', 'मर्न', 'है', 'तेरो', 'सडेको', 'अनुहार', 'त', 'हेनु', 'पर्दैन', 'मैले', '|']","['O', 'B-profanity', 'I-profanity', 'O', 'B-profanity', 'I-profanity', 'O', 'O', 'O', 'O', 'O']","['_', '1', '1', '_', '0', '0', '_', '_', '_', '_', '_']",8,1,,,
47,simulation_ipv,shr,तेरो बुद्धि छैन अब गुप्तिबास बस्दा हुन्छ |,"['तेरो', 'बुद्धि', 'छैन', 'अब', 'गुप्तिबास', 'बस्दा', 'हुन्छ', '|']","['O', 'B-profanity', 'I-profanity', 'O', 'B-profanity', 'I-profanity', 'I-profanity', 'O']","['_', '0', '0', '_', '0', '0', '0', '_']",7,1,,,
48,simulation_ipv,shr,तेरो एक्तिंग अलि कम् भएन कुकुर्नी |,"['तेरो', 'एक्तिंग', 'अलि', 'कम्', 'भएन', 'कुकुर्नी', '|']","['O', 'O', 'O', 'O', 'O', 'B-profanity', 'O']","['_', '_', '_', '_', '_', '0', '_']",7,1,,,
49,simulation_ipv,shr,नाटक गर्नी नि एउटा सिमा हुन्छ नि |,"['नाटक', 'गर्नी', 'नि', 'एउटा', 'सिमा', 'हुन्छ', 'नि', '|']","['B-profanity', 'I-profanity', 'O', 'O', 'O', 'O', 'O', 'O']","['0', '0', '_', '_', '_', '_', '_', '_']",7,1,,,
50,simulation_ipv,shr,नाटक किन अब ह्याप्पी हुनु पर्नी होइन तँ अरुको लाइफ बिगारेर |,"['नाटक', 'किन', 'अब', 'ह्याप्पी', 'हुनु', 'पर्नी', 'होइन', 'तँ', 'अरुको', 'लाइफ', 'बिगारेर', '|']","['B-profanity', 'I-profanity', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['0', '0', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",6,1,,,
51,simulation_ipv,shr,पागल्नी तेरो त हिड्दा हिड्दै खुट्टा भाचियोस |,"['पागल्नी', 'तेरो', 'त', 'हिड्दा', 'हिड्दै', 'खुट्टा', 'भाचियोस', '|']","['B-profanity', 'O', 'O', 'B-physical_threat', 'I-physical_threat', 'I-physical_threat', 'I-physical_threat', 'O']","['0', '_', '_', '0', '0', '0', '0', '_']",7,1,,,
53,simulation_ipv,shr,तेरो अनुहार देख्दा पनि अलक्षिनि लाग्छ मलाई |,"['तेरो', 'अनुहार', 'देख्दा', 'पनि', 'अलक्षिनि', 'लाग्छ', 'मलाई', '|']","['O', 'O', 'O', 'O', 'B-character_assasination', 'I-character_assasination', 'O', 'O']","['_', '_', '_', '_', '1', '1', '_', '_']",7,1,,,
54,simulation_ipv,shr,तँ डंकिनी कति ओटा केटा संग घुम्दै हिड्छेस ए अलिकति लाज हुदैन |,"['तँ', 'डंकिनी', 'कति', 'ओटा', 'केटा', 'संग', 'घुम्दै', 'हिड्छेस', 'ए', 'अलिकति', 'लाज', 'हुदैन', '|']","['O', 'B-profanity', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-character_assasination', 'I-character_assasination', 'O']","['_', '0', '_', '_', '_', '_', '_', '_', '_', '_', '0', '0', '_']",7,1,,,
55,simulation_ipv,shr,कसम तलाई भेटे भने तेरो खुट्टा नभाची छोड्दिन रगरग गर्दै हिड्न |,"['कसम', 'तलाई', 'भेटे', 'भने', 'तेरो', 'खुट्टा', 'नभाची', 'छोड्दिन', 'रगरग', 'गर्दै', 'हिड्न', '|']","['O', 'O', 'O', 'O', 'O', 'B-physical_threat', 'I-physical_threat', 'I-physical_threat', 'O', 'O', 'O', 'O']","['_', '_', '_', '_', '_', '1', '1', '1', '_', '_', '_', '_']",8,1,,,
56,simulation_ipv,shr,रत्नपार्कको बेस्या पनि यति सम्मका बेज्जती हुदैनन् होला |,"['रत्नपार्कको', 'बेस्या', 'पनि', 'यति', 'सम्मका', 'बेज्जती', 'हुदैनन्', 'होला', '|']","['B-character_assasination', 'I-character_assasination', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['1', '1', '_', '_', '_', '_', '_', '_', '_']",7,1,,,
57,simulation_ipv,shr,तँ त रत्नपार्कका बेस्या भन्दा नि खत्तम केटि रहिछेस |,"['तँ', 'त', 'रत्नपार्कका', 'बेस्या', 'भन्दा', 'नि', 'खत्तम', 'केटि', 'रहिछेस', '|']","['O', 'O', 'B-character_assasination', 'I-character_assasination', 'O', 'O', 'B-character_assasination', 'I-character_assasination', 'I-character_assasination', 'O']","['_', '_', '1', '1', '_', '_', '1', '1', '1', '_']",7,1,,,
58,simulation_ipv,shr,ठुलो भाग् खोजेकी होइनस् कुकुर्नी अरुलाई खनेको खाल्डोमा आफै परिस |,"['ठुलो', 'भाग्', 'खोजेकी', 'होइनस्', 'कुकुर्नी', 'अरुलाई', 'खनेको', 'खाल्डोमा', 'आफै', 'परिस', '|']","['O', 'O', 'O', 'O', 'B-profanity', 'O', 'O', 'O', 'O', 'O', 'O']","['_', '_', '_', '_', '0', '_', '_', '_', '_', '_', '_']",7,1,,,
59,simulation_ipv,shr,पैसाको लागि जो संग पनि सुत्छेस है लाज सरम केहि छैन तलाई |,"['पैसाको', 'लागि', 'जो', 'संग', 'पनि', 'सुत्छेस', 'है', 'लाज', 'सरम', 'केहि', 'छैन', 'तलाई', '|']","['B-character_assasination', 'I-character_assasination', 'I-character_assasination', 'I-character_assasination', 'I-character_assasination', 'I-character_assasination', 'O', 'B-character_assasination', 'I-character_assasination', 'I-character_assasination', 'I-character_assasination', 'O', 'O']","['1', '1', '1', '1', '1', '1', '_', '0', '0', '0', '0', '_', '_']",7,1,,,
60,simulation_ipv,shr,तिमि जस्तो लाज नभाको आइमाई आज सम्म भेटेको छोइन ! पेट पाल्न बेस्या गर्ने महिला बरु नैतिकवान हुन्छन् !,"['तिमि', 'जस्तो', 'लाज', 'नभाको', 'आइमाई', 'आज', 'सम्म', 'भेटेको', 'छोइन', '!', 'पेट', 'पाल्न', 'बेस्या', 'गर्ने', 'महिला', 'बरु', 'नैतिकवान', 'हुन्छन्', '!']","['O', 'O', 'B-character_assasination', 'I-character_assasination', 'I-character_assasination', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['_', '_', '1', '1', '1', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",6,1,,,
61,simulation_ipv,shr,मुजी फसौनी बेला फसाहिस अहिले आएर नाटक गर्छेस मुजी नौटंकी |,"['मुजी', 'फसौनी', 'बेला', 'फसाहिस', 'अहिले', 'आएर', 'नाटक', 'गर्छेस', 'मुजी', 'नौटंकी', '|']","['B-profanity', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-profanity', 'I-profanity', 'O']","['0', '_', '_', '_', '_', '_', '_', '_', '0', '0', '_']",6,1,,,
62,simulation_ipv,shr,साले रन्डी आइमाई बोलीको ठेगान नभाकी केहि ढंग छैन तेरो |,"['साले', 'रन्डी', 'आइमाई', 'बोलीको', 'ठेगान', 'नभाकी', 'केहि', 'ढंग', 'छैन', 'तेरो', '|']","['B-profanity', 'B-character_assasination', 'I-character_assasination', 'B-character_assasination', 'I-character_assasination', 'I-character_assasination', 'O', 'O', 'O', 'O', 'O']","['0', '1', '1', '0', '0', '0', '_', '_', '_', '_', '_']",8,1,,,
